date,year,month,week,day_of_week,restaurant_id,city_code,region_code,center_type,op_area,unique_meals,dominant_category,dominant_cuisine,avg_checkout_price,avg_base_price,emailer_promo_rate,homepage_feature_rate,is_weekend,is_holiday,special_event,temperature_c,precipitation_mm,estimated_customers,num_orders,food_sold_kg,food_prepared_kg,food_waste_kg
0,2018,1,1,1,10,590,56,1,6.3,45,0,3,279.14388636632845,300.493569313381,0.1111111111111111,0.0444444444444444,0,1,1,18.5,1.0,1930,3016,898.56,986.32,87.76
0,2018,1,1,1,11,679,56,0,3.7,42,0,3,259.2951338171921,277.4755624858244,0.119047619047619,0.1428571428571428,0,1,1,18.5,1.0,1514,2100,605.61,665.45,59.84
0,2018,1,1,1,13,590,56,1,6.7,45,0,3,263.44108631607463,283.023964985947,0.1111111111111111,0.1333333333333333,0,1,1,18.5,1.0,2347,3678,1072.0,1177.65,105.65
0,2018,1,1,1,14,654,56,2,2.7,39,0,3,271.932431640625,298.77857964409725,0.1282051282051282,0.2564102564102564,0,1,1,18.5,1.0,867,1107,325.74,358.36,32.62
0,2018,1,1,1,17,517,56,0,3.2,40,0,3,271.6642287169537,295.8293754547659,0.125,0.125,0,1,1,18.5,1.0,711,982,283.79,311.81,28.02
0,2018,1,1,1,20,522,56,0,4.0,42,0,3,271.5135305742851,297.7105661474076,0.119047619047619,0.1904761904761904,0,1,1,18.5,1.0,737,1024,294.74,324.0,29.26
0,2018,1,1,1,23,698,23,0,3.4,44,0,2,292.7724012559908,313.42672533465543,0.1136363636363636,0.1136363636363636,0,1,1,17.5,1.2,1041,1441,445.96,489.85,43.89
0,2018,1,1,1,24,614,85,1,3.6,44,0,3,268.456890062727,282.58757741828987,0.1136363636363636,0.0681818181818181,0,1,1,18.2,1.2,1174,1804,527.44,579.11,51.67
0,2018,1,1,1,26,515,77,2,3.0,32,0,2,273.66513859275057,288.49763326226014,0.125,0.15625,0,1,1,18.9,1.2,567,726,220.02,241.82,21.8
0,2018,1,1,1,27,713,85,0,4.5,45,0,3,261.9301098901099,280.09737998843264,0.1111111111111111,0.1777777777777777,0,1,1,18.2,1.2,1476,2059,612.64,673.29,60.65
0,2018,1,1,1,29,526,34,2,4.0,34,6,2,284.5467025250261,295.1856432093232,0.1176470588235294,0.0588235294117647,0,1,1,17.8,1.0,636,820,238.66,262.03,23.37
0,2018,1,1,1,30,604,56,0,3.5,45,0,3,277.957376866312,299.5579337566501,0.1111111111111111,0.2222222222222222,0,1,1,18.5,1.0,1002,1388,416.45,457.86,41.41
0,2018,1,1,1,32,526,34,0,3.8,37,0,2,286.25639485627835,296.1085885022693,0.1081081081081081,0.081081081081081,0,1,1,17.8,1.0,567,787,239.37,262.82,23.45
0,2018,1,1,1,34,615,34,1,4.2,38,0,3,311.9914886257816,319.036034322203,0.1052631578947368,0.0789473684210526,0,1,1,17.8,1.0,580,895,267.66,293.86,26.2
0,2018,1,1,1,36,517,56,1,4.4,43,0,3,265.50054335719966,281.80820843277644,0.1162790697674418,0.2093023255813953,0,1,1,18.5,1.0,1014,1565,461.25,507.11,45.86
0,2018,1,1,1,39,526,34,2,3.8,36,6,2,319.9884103703704,334.35311259259254,0.1944444444444444,0.0833333333333333,0,1,1,17.8,1.0,624,804,238.48,262.26,23.78
0,2018,1,1,1,41,590,56,2,1.9,29,0,0,328.6211701380763,360.18455651766914,0.1724137931034483,0.0344827586206896,0,1,1,18.5,1.0,401,509,155.99,171.4,15.41
0,2018,1,1,1,42,561,77,1,3.9,38,0,3,264.45452804786834,271.9295467464473,0.1052631578947368,0.1052631578947368,0,1,1,18.9,1.2,517,796,230.53,253.16,22.63
0,2018,1,1,1,43,590,56,0,5.1,44,0,3,258.3785079117015,282.20943465520605,0.1136363636363636,0.2045454545454545,0,1,1,18.5,1.0,2176,3048,886.2,974.22,88.02
0,2018,1,1,1,50,556,77,0,4.8,39,0,3,256.1872378733319,262.1407816140648,0.1025641025641025,0.1025641025641025,0,1,1,18.9,1.2,804,1124,327.53,359.65,32.12
0,2018,1,1,1,51,638,56,0,7.0,45,0,3,268.630067547724,289.2465315712188,0.1111111111111111,0.1333333333333333,0,1,1,18.5,1.0,1427,2027,617.94,678.84,60.9
0,2018,1,1,1,52,685,56,1,5.6,45,0,3,268.81052349211507,286.1742708502683,0.1111111111111111,0.1111111111111111,0,1,1,18.5,1.0,1452,2260,647.98,711.7,63.72
0,2018,1,1,1,53,590,56,0,3.8,42,0,3,272.2520529631058,295.6208175858079,0.119047619047619,0.2142857142857142,0,1,1,18.5,1.0,668,927,276.01,303.48,27.47
0,2018,1,1,1,55,647,56,2,2.0,33,0,0,300.58824624194705,335.99474469100454,0.1515151515151515,0.1212121212121212,0,1,1,18.5,1.0,786,998,301.93,331.89,29.96
0,2018,1,1,1,57,541,77,2,2.8,28,0,2,293.8056985456148,303.3823336271485,0.1428571428571428,0.1071428571428571,0,1,1,18.9,1.2,423,540,169.18,185.92,16.74
0,2018,1,1,1,58,695,77,2,3.8,35,0,2,299.0123924481585,310.2612705044877,0.1142857142857142,0.1714285714285714,0,1,1,18.9,1.2,597,769,233.48,256.59,23.11
0,2018,1,1,1,59,456,56,0,4.2,43,0,3,265.8315329717385,280.5631915501,0.1162790697674418,0.2790697674418604,0,1,1,18.5,1.0,1264,1759,515.47,567.08,51.61
0,2018,1,1,1,61,473,77,0,4.5,38,0,2,301.3928802075825,311.1573014271298,0.1052631578947368,0.1052631578947368,0,1,1,18.9,1.2,592,826,249.64,274.14,24.5
0,2018,1,1,1,64,553,77,0,4.4,35,0,2,267.36627643504534,275.35124622356494,0.1142857142857142,0.1714285714285714,0,1,1,18.9,1.2,565,788,234.64,257.87,23.23
0,2018,1,1,1,65,602,34,0,4.8,37,0,3,271.36230985097734,280.24530868976194,0.1081081081081081,0.1081081081081081,0,1,1,17.8,1.0,881,1231,360.96,396.42,35.46
0,2018,1,1,1,66,648,34,0,4.1,38,0,1,265.4639362769694,303.0792197691921,0.1578947368421052,0.1578947368421052,0,1,1,17.8,1.0,1024,1424,402.33,442.46,40.13
0,2018,1,1,1,67,638,56,1,7.0,43,0,3,265.7125483457596,281.76594827586206,0.1162790697674418,0.1627906976744186,0,1,1,18.5,1.0,1362,2138,608.09,668.26,60.17
