date,year,month,week,day_of_week,restaurant_id,city_code,region_code,center_type,op_area,unique_meals,dominant_category,dominant_cuisine,avg_checkout_price,avg_base_price,emailer_promo_rate,homepage_feature_rate,is_weekend,is_holiday,special_event,temperature_c,precipitation_mm,estimated_customers,num_orders,food_sold_kg,food_prepared_kg,food_waste_kg,food_waste_kg_original,consumption_ratio,food_waste_kg_base,gaussian_noise_kg
0,2018,1,1,1,10,590,56,1,6.3,45,0,3,279.14388636632845,300.493569313381,0.1111111111111111,0.0444444444444444,0,1,1,18.5,1.0,1930,3016,898.56,986.32,88.0647170797545,87.76,0.9110227917917105,87.76000000000008,0.30471707975443135
0,2018,1,1,1,11,679,56,0,3.7,42,0,3,259.2951338171921,277.4755624858244,0.119047619047619,0.1428571428571428,0,1,1,18.5,1.0,1514,2100,605.61,665.45,58.800015893759515,59.84,0.9100758884965061,59.84000000000001,-1.0399841062404955
0,2018,1,1,1,13,590,56,1,6.7,45,0,3,263.44108631607463,283.023964985947,0.1111111111111111,0.1333333333333333,0,1,1,18.5,1.0,2347,3678,1072.0,1177.65,106.40045119580655,105.65,0.9102874368445633,105.65000000000009,0.7504511958064572
0,2018,1,1,1,14,654,56,2,2.7,39,0,3,271.932431640625,298.77857964409725,0.1282051282051282,0.2564102564102564,0,1,1,18.5,1.0,867,1107,325.74,358.36,33.560564716391205,32.62,0.9089742158723072,32.61999999999999,0.9405647163912139
0,2018,1,1,1,17,517,56,0,3.2,40,0,3,271.6642287169537,295.8293754547659,0.125,0.125,0,1,1,18.5,1.0,711,982,283.79,311.81,26.06896481134615,28.02,0.9101375837849973,28.019999999999985,-1.9510351886538364
0,2018,1,1,1,20,522,56,0,4.0,42,0,3,271.5135305742851,297.7105661474076,0.119047619047619,0.1904761904761904,0,1,1,18.5,1.0,737,1024,294.74,324.0,27.95782049313768,29.26,0.9096913580246914,29.259999999999998,-1.302179506862318
0,2018,1,1,1,23,698,23,0,3.4,44,0,2,292.7724012559908,313.42672533465543,0.1136363636363636,0.1136363636363636,0,1,1,17.5,1.2,1041,1441,445.96,489.85,44.017840403167355,43.89,0.9104011432071041,43.89000000000007,0.12784040316728537
0,2018,1,1,1,24,614,85,1,3.6,44,0,3,268.456890062727,282.58757741828987,0.1136363636363636,0.0681818181818181,0,1,1,18.2,1.2,1174,1804,527.44,579.11,51.35375740765636,51.67,0.9107768817668492,51.669999999999945,-0.3162425923435822
0,2018,1,1,1,26,515,77,2,3.0,32,0,2,273.66513859275057,288.49763326226014,0.125,0.15625,0,1,1,18.9,1.2,567,726,220.02,241.82,21.783198842495697,21.8,0.9098503018774295,21.799999999999986,-0.016801157504288795
0,2018,1,1,1,27,713,85,0,4.5,45,0,3,261.9301098901099,280.09737998843264,0.1111111111111111,0.1777777777777777,0,1,1,18.2,1.2,1476,2059,612.64,673.29,59.79695607242642,60.65,0.9099199453430171,60.65,-0.85304392757358
0,2018,1,1,1,29,526,34,2,4.0,34,6,2,284.5467025250261,295.1856432093232,0.1176470588235294,0.0588235294117647,0,1,1,17.8,1.0,636,820,238.66,262.03,24.24939797486279,23.37,0.9108117391138421,23.369999999999962,0.8793979748628286
0,2018,1,1,1,30,604,56,0,3.5,45,0,3,277.957376866312,299.5579337566501,0.1111111111111111,0.2222222222222222,0,1,1,18.5,1.0,1002,1388,416.45,457.86,42.18779193542896,41.41,0.9095575066614249,41.41000000000001,0.7777919354289483
0,2018,1,1,1,32,526,34,0,3.8,37,0,2,286.25639485627835,296.1085885022693,0.1081081081081081,0.081081081081081,0,1,1,17.8,1.0,567,787,239.37,262.82,23.51603069756121,23.45,0.9107754356593867,23.449999999999992,0.06603069756121605
0,2018,1,1,1,34,615,34,1,4.2,38,0,3,311.9914886257816,319.036034322203,0.1052631578947368,0.0789473684210526,0,1,1,17.8,1.0,580,895,267.66,293.86,27.327241206968015,26.2,0.910841897502212,26.19999999999998,1.1272412069680329
0,2018,1,1,1,36,517,56,1,4.4,43,0,3,265.50054335719966,281.80820843277644,0.1162790697674418,0.2093023255813953,0,1,1,18.5,1.0,1014,1565,461.25,507.11,46.32750934225208,45.86,0.9095659718798682,45.860000000000035,0.4675093422520456
0,2018,1,1,1,39,526,34,2,3.8,36,6,2,319.9884103703704,334.35311259259254,0.1944444444444444,0.0833333333333333,0,1,1,17.8,1.0,624,804,238.48,262.26,22.920707537116755,23.78,0.9093266224357508,23.779999999999994,-0.8592924628832382
0,2018,1,1,1,41,590,56,2,1.9,29,0,0,328.6211701380763,360.18455651766914,0.1724137931034483,0.0344827586206896,0,1,1,18.5,1.0,401,509,155.99,171.4,15.77875078408249,15.41,0.910093348891482,15.409999999999991,0.36875078408249884
0,2018,1,1,1,42,561,77,1,3.9,38,0,3,264.45452804786834,271.9295467464473,0.1052631578947368,0.1052631578947368,0,1,1,18.9,1.2,517,796,230.53,253.16,21.671117399171006,22.63,0.9106098909780376,22.630000000000006,-0.9588826008289989
0,2018,1,1,1,43,590,56,0,5.1,44,0,3,258.3785079117015,282.20943465520605,0.1136363636363636,0.2045454545454545,0,1,1,18.5,1.0,2176,3048,886.2,974.22,88.89845030130722,88.02,0.9096507975611259,88.01999999999995,0.8784503013072725
0,2018,1,1,1,50,556,77,0,4.8,39,0,3,256.1872378733319,262.1407816140648,0.1025641025641025,0.1025641025641025,0,1,1,18.9,1.2,804,1124,327.53,359.65,32.070074089013744,32.12,0.9106909495342694,32.12,-0.049925910986252896
0,2018,1,1,1,51,638,56,0,7.0,45,0,3,268.630067547724,289.2465315712188,0.1111111111111111,0.1333333333333333,0,1,1,18.5,1.0,1427,2027,617.94,678.84,60.71513763645474,60.9,0.9102881385893583,60.900000000000006,-0.18486236354526056
0,2018,1,1,1,52,685,56,1,5.6,45,0,3,268.81052349211507,286.1742708502683,0.1111111111111111,0.1111111111111111,0,1,1,18.5,1.0,1452,2260,647.98,711.7,63.03907045559612,63.72,0.9104678937754671,63.72000000000006,-0.6809295444039414
0,2018,1,1,1,53,590,56,0,3.8,42,0,3,272.2520529631058,295.6208175858079,0.119047619047619,0.2142857142857142,0,1,1,18.5,1.0,668,927,276.01,303.48,28.69254133867405,27.47,0.9094833267431132,27.47000000000002,1.2225413386740303
0,2018,1,1,1,55,647,56,2,2.0,33,0,0,300.58824624194705,335.99474469100454,0.1515151515151515,0.1212121212121212,0,1,1,18.5,1.0,786,998,301.93,331.89,29.805470517931177,29.96,0.9097291271204315,29.95999999999998,-0.15452948206880215
0,2018,1,1,1,57,541,77,2,2.8,28,0,2,293.8056985456148,303.3823336271485,0.1428571428571428,0.1071428571428571,0,1,1,18.9,1.2,423,540,169.18,185.92,16.311672177836876,16.74,0.909961273666093,16.739999999999984,-0.4283278221631072
0,2018,1,1,1,58,695,77,2,3.8,35,0,2,299.0123924481585,310.2612705044877,0.1142857142857142,0.1714285714285714,0,1,1,18.9,1.2,597,769,233.48,256.59,22.75786644951175,23.11,0.9099341361705445,23.109999999999978,-0.3521335504882296
0,2018,1,1,1,59,456,56,0,4.2,43,0,3,265.8315329717385,280.5631915501,0.1162790697674418,0.2790697674418604,0,1,1,18.5,1.0,1264,1759,515.47,567.08,52.14230918555336,51.61,0.9089899132397545,51.61000000000001,0.5323091855533487
0,2018,1,1,1,61,473,77,0,4.5,38,0,2,301.3928802075825,311.1573014271298,0.1052631578947368,0.1052631578947368,0,1,1,18.9,1.2,592,826,249.64,274.14,24.865444064364073,24.5,0.9106296053111549,24.499999999999996,0.36544406436407834
0,2018,1,1,1,64,553,77,0,4.4,35,0,2,267.36627643504534,275.35124622356494,0.1142857142857142,0.1714285714285714,0,1,1,18.9,1.2,565,788,234.64,257.87,23.642732611596013,23.23,0.9099158490712373,23.230000000000025,0.4127326115959884
0,2018,1,1,1,65,602,34,0,4.8,37,0,3,271.36230985097734,280.24530868976194,0.1081081081081081,0.1081081081081081,0,1,1,17.8,1.0,881,1231,360.96,396.42,35.89082100300792,35.46,0.910549417284698,35.460000000000036,0.43082100300788273
0,2018,1,1,1,66,648,34,0,4.1,38,0,1,265.4639362769694,303.0792197691921,0.1578947368421052,0.1578947368421052,0,1,1,17.8,1.0,1024,1424,402.33,442.46,42.27164760087045,40.13,0.9093025358224472,40.12999999999999,2.1416476008704612
0,2018,1,1,1,67,638,56,1,7.0,43,0,3,265.7125483457596,281.76594827586206,0.1162790697674418,0.1627906976744186,0,1,1,18.5,1.0,1362,2138,608.09,668.26,59.76358498361534,60.17,0.9099601951336307,60.16999999999995,-0.4064150163846156
0,2018,1,1,1,68,676,34,1,4.1,39,0,2,275.704632076784,287.7534636249826,0.1025641025641025,0.1538461538461538,0,1,1,17.8,1.0,566,872,256.9,282.23,24.817757270928503,25.33,0.9102505049073449,25.33000000000004,-0.5122427290715373
0,2018,1,1,1,72,638,56,2,3.9,40,0,2,279.6505476809528,307.1411071039168,0.125,0.275,0,1,1,18.5,1.0,1102,1420,422.83,465.22,41.57622727175216,42.39,0.9088818193542839,42.390000000000036,-0.8137727282478777
0,2018,1,1,1,73,576,34,0,4.0,33,0,2,304.5227715968586,314.1553844895288,0.1212121212121212,0.1212121212121212,0,1,1,17.8,1.0,524,728,215.05,236.26,21.825979422575486,21.21,0.9102260221789554,21.20999999999999,0.6159794225754956
0,2018,1,1,1,74,702,35,0,2.8,34,0,2,298.3309783183501,305.2653305129561,0.1176470588235294,0.0294117647058823,0,1,1,18.2,1.2,327,450,133.81,146.88,14.198972292720883,13.07,0.9110157952069717,13.069999999999991,1.1289722927208916
0,2018,1,1,1,75,651,77,1,4.7,38,0,1,285.2106304252521,294.7448943445857,0.1052631578947368,0.1052631578947368,0,1,1,18.9,1.2,911,1409,418.0,459.03,40.9160525423451,41.03,0.910615863886892,41.02999999999997,-0.11394745765487507
0,2018,1,1,1,76,614,85,0,3.0,38,0,2,288.27229562555794,314.4466177783446,0.131578947368421,0.0263157894736842,0,1,1,18.2,1.2,683,942,277.44,304.6,26.319843523037495,27.16,0.910833880499015,27.16000000000002,-0.840156476962528
0,2018,1,1,1,77,676,34,0,3.8,34,0,2,291.11124314056565,301.1661207260448,0.1176470588235294,0.1470588235294117,0,1,1,17.8,1.0,406,564,170.29,187.12,16.00551878430877,16.83,0.9100577169730654,16.83000000000001,-0.8244812156912396
0,2018,1,1,1,80,604,56,2,5.1,44,0,3,263.86718452100047,284.4254742803209,0.1136363636363636,0.0227272727272727,0,1,1,18.5,1.0,970,1262,372.45,408.76,36.96059278782468,36.31,0.9111703689206381,36.30999999999998,0.6505927878247011
0,2018,1,1,1,81,526,34,0,4.0,37,0,2,310.3720232061883,321.26768071485725,0.1081081081081081,0.081081081081081,0,1,1,17.8,1.0,642,893,267.78,294.02,26.98325417120344,26.24,0.9107543704509897,26.24,0.7432541712034423
0,2018,1,1,1,83,659,77,0,5.3,38,0,3,274.4917754648343,282.4473241713824,0.1052631578947368,0.1052631578947368,0,1,1,18.9,1.2,864,1212,361.35,396.82,36.01315426830514,35.47,0.9106143843556274,35.46999999999995,0.543154268305195
0,2018,1,1,1,86,699,85,2,4.0,37,0,2,301.8477806826435,318.6229934640523,0.1351351351351351,0.1891891891891892,0,1,1,18.2,1.2,1271,1640,495.94,545.33,48.724490292711366,49.39,0.9094309867419726,49.39000000000006,-0.6655097072886943
0,2018,1,1,1,88,526,34,0,4.1,38,0,2,293.06486450317834,302.32569588491134,0.1052631578947368,0.131578947368421,0,1,1,17.8,1.0,512,712,210.33,231.03,20.932161323066715,20.7,0.9104012465913518,20.699999999999996,0.23216132306671977
0,2018,1,1,1,89,703,56,0,4.8,41,0,3,269.07142436149314,285.26077424540097,0.1219512195121951,0.1219512195121951,0,1,1,18.5,1.0,954,1333,394.57,433.5,39.04668580914074,38.93,0.9101960784313725,38.930000000000014,0.11668580914072822
0,2018,1,1,1,91,590,56,2,0.9,21,0,0,362.7731382208056,412.99945233265726,0.238095238095238,0.0,0,1,1,18.5,1.0,333,419,128.92,141.78,13.07868859672902,12.86,0.9092960925377345,12.860000000000007,0.21868859672901295
0,2018,1,1,1,92,526,34,2,2.9,33,6,2,292.1616552346571,304.84792057761734,0.2121212121212121,0.2121212121212121,0,1,1,17.8,1.0,516,660,191.66,211.09,20.301428777948203,19.43,0.9079539532900658,19.430000000000014,0.8714287779481898
0,2018,1,1,1,93,461,34,0,3.9,33,0,2,276.6386492404544,290.5489188449432,0.1212121212121212,0.1515151515151515,0,1,1,17.8,1.0,626,870,262.45,288.42,26.193595548774702,25.97,0.9099577005755495,25.97000000000002,0.22359554877468227
0,2018,1,1,1,94,632,34,2,3.6,38,0,2,284.22184220460554,294.21922234805584,0.1052631578947368,0.1842105263157894,0,1,1,17.8,1.0,491,631,191.71,210.68,19.648913563071886,18.97,0.9099582304917411,18.96999999999999,0.6789135630718949
0,2018,1,1,1,97,628,77,0,4.6,38,0,2,301.534728654764,310.55137263567264,0.1052631578947368,0.0789473684210526,0,1,1,18.9,1.2,965,1347,399.98,439.14,39.227579069488854,39.16,0.9108257047866285,39.15999999999996,0.06757906948889146
0,2018,1,1,1,99,596,71,0,4.5,38,0,2,283.0233125219838,304.8729115371087,0.131578947368421,0.1842105263157894,0,1,1,16.8,1.2,979,1366,428.73,471.38,42.93911939868994,42.65,0.9095209809495525,42.649999999999956,0.28911939868998415
